yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CCE47	Entry
175551	D5MCR4
175551	D5MCR5
175551	Q21900
175551	Q7JMB8
175551	Q7Z204
175550	Q21899
824611	A0A1I9LN96
824611	Q9M1I1
175556	Q9U3C8
824613	A0A178V842
824613	A0A1I9LNL6
824613	A0A1I9LNL7
824613	F4JCX6
824613	Q94FT2
824612	Q42586
71710	B9EI20
71710	E9QNC6
71710	G5E8Y2
71710	Q69ZB0
545030	E9PV60
545030	E9Q2M9
12986	P40223
828106	A0A178UYP9
828106	Q93VB4
118881	Q86VU5
828103	Q56YP1
828103	Q56YR0
14593	Q3V0T8
14593	Q9CZZ6
14593	Q9WTN0
125488	B7Z3X0
125488	G3V1P2
125488	Q8N584
12984	P26954
12984	Q3U1Z1
163059	A0A024R7H6
163059	Q8N7K0
168002	Q5SW24
57558	Q9P2H5
163050	Q8TBZ8
100381270	P86452
41073	Q9VHJ3
41072	Q9Y0Z1
41071	Q9VHJ4
179587	G5EFG5
179587	Q9XXM5
203522	A0A1W2PPI5
203522	Q5JSJ4
203522	Q8N8M2
203523	Q6P9G9
203523	Q7Z3P1
179583	P90783
29167	P28023
41079	C0MJU2
41079	Q9XYN7
41078	Q8INP8
41078	Q8INP9
41078	Q9VHI8
654346	J3KSY2
654346	Q6DKI2
2540168	Q9P6J4
130589	Q96C23
290408	B0BN85
2540161	Q9P6R7
2540160	O94574
2540164	Q9P6J7
2540167	Q9P6J6
12812	E9Q284
13841	A2BDQ4
13841	Q61772
13841	Q8CC52
19707	E9Q632
19707	O54916
539521	Q3ZCA7
163589	A0A024R910
163589	Q8NAT2
14800	Q4LG64
14802	E9PX01
14802	Q8C069
14802	Q9Z2W8
54241	P11442
14804	Q61625
14805	A0A2I3BPT2
14805	A0A2I3BQM2
14805	Q3UZT1
14805	Q8BQZ0
14805	Q8BRT2
14805	Q8C825
14806	A0A1W2P6S5
14806	P39087
14807	B1AS29
176606	Q8I4D6
176606	Q9U2I3
14809	Q61626
14809	Q80WU3
176605	G5ECR7
27316	P38159
176601	Q9U2I7
20084	P62270
20084	Q561N5
841844	Q9SYG2
3564957	Q94247
419125	Q5ZJL9
100044627	P62830
256356	Q6ZS86
815152	Q9SLA8
67382	Q3TUI3
67382	Q5CCJ9
67382	Q8K2F0
191921	P91551
3772015	A0A0B4JCT4
3772015	A1ZAU2
3772015	A1ZAU3
3772015	C3KGN2
841840	A0A1P8AQR4
841840	Q9C5N8
57452	Q68VJ8
57452	Q8N428
178188	Q19877
57084	Q9P2U8
174600	Q17784
174600	Q9U3R2
174601	K8FDZ1
174601	Q17786
178181	D3YT38
178181	H2L2A8
178181	Q19583
178181	Q9U3I7
174603	P04970
2655092	Q8IBY3
178186	Q19872
2655090	Q8IBY8
2655091	Q8IBY4
826616	Q38806
285556	D6RIA3
838435	Q9FZ76
1687	A0A024RA58
1687	A4FVA8
1687	O60443
186492	Q20971
57453	Q8TD84
380388	A0A1L8GFG6
380388	Q7ZWV0
2543168	Q09733
29989	Q9NPH6
29988	A0A024R871
29988	A0A087WT42
29988	Q5VVV9
29988	Q8WZ05
29988	Q9NY64
196527	B3KX12
196527	Q4KMQ2
27315	A0A024RCC6
27315	A0A024RCD5
27315	A0A0A0MS75
27315	A0A0S2Z568
27315	A8MYS5
27315	B7Z2X5
27315	H0YDQ4
27315	Q9UHJ9
29980	Q9NYP3
29982	Q96F24
29985	Q9BRY0
29984	E9PIG5
29984	O00212
13845	P54754
2541699	Q09196
399088	Q92133
2541690	Q9UTJ7
2541691	O42862
399087	Q6NS03
839841	A0A178WCZ2
839841	Q9C7N7
2541694	Q9UTQ9
2541695	P36602
2541695	S6BSK3
2541696	O13715
2541697	Q9UTB6
390980	Q5CZA5
79774	A0A087X0Y1
79774	Q5TC63
2538978	O59764
2541343	P0CU14
2541343	P0CU15
2541341	P40234
2541346	O94257
2541347	O94263
2541344	P35679
2541345	P36620
837028	O23044
837028	Q0WSR2
2541348	Q9P7D4
2541349	Q9P795
280968	Q27957
160777	Q8IWA6
398680	A0A1L8F2K7
398680	A0A1L8F2M6
398680	Q641J8
3720	Q92833
42560	C0MK54
42560	Q9VD83
13846	P54761
13846	Q3V1K8
13846	Q8C7S3
13846	Q8C8K1
174261	G5EEJ2
174261	Q22198
174261	U4PBK8
3637918	A0A1D8PLL3
16568	B1AQZ2
16568	P28741
16568	Q3TET1
16568	Q3UF02
16568	Q3UI47
319	Q13790
318	P50583
80739	B0V023
80739	O95866
843343	B9DFG3
312	P27216
312	Q53FB5
311	P50995
311	Q5T0G8
310	B2R657
310	P20073
317	O14727
316	Q06278
314	O75106
80737	A0A1U9X8T7
80737	Q9Y334
834249	Q9FIH4
16564	F8WGN6
16564	Q3TQJ5
16564	Q3UHE7
16564	Q3V416
16564	Q9QXL2
834246	A0A1P8BBK4
834246	F4K1J4
834244	Q9FIH9
834243	A0A178UHH4
834243	F4K1J1
834243	Q9FII0
834241	Q9FII2
51362	O60508
51363	B4DH74
51363	Q7LFX5
51360	O43462
51361	Q9UJC3
51366	O95071
51367	Q969H6
51364	O75800
51365	G5E9W0
51365	Q53H76
51368	A0A087WTU3
51368	Q9Y6I9
824557	A0A178VJX7
824557	Q9M336
80732	Q99MD8
39833	Q00805
80731	E7EM75
30325	B3DGA4
30325	O42365
398353	Q6AX47
16562	O35071
16562	Q3V3Y9
16562	Q8VI89
817130	A0A178VRV6
817130	O82308
817130	Q494N8
817136	A0A178VUE6
817136	A0A1P8AXX7
817136	O82808
817134	O82804
79669	Q5BVD1
110279	A2RRK7
110279	Q6PAJ1
817139	A0A1P8B2D4
817139	O80998
820821	A0A178V6P0
820821	Q9LW01
777766	F1QHN6
828929	Q9M0J3
212943	A0A087WS27
212943	D3Z5S8
828927	A0A178V452
828927	A0A1P8B402
828927	Q9M0J5
43716	Q9V9X0
151871	Q7Z7J5
296115	D4A7V0
15403	P09092
15403	Q0VEU7
54414	Q9HAT2
54413	B7Z3P8
54413	Q4G160
54413	Q6MZK0
54413	Q9NZ94
54413	X5D2P6
54413	X5D7L6
54413	X5DNV3
729440	Q9Y6R9
308759	Q32PZ3
7125	C9J7T9
7125	P02585
306759	Q562B0
115196	B3KNM4
115196	Q86TJ5
6936	A4UHR0
6936	B3KUM5
6936	P16383
6936	Q9BVX3
193385	A6PW28
193385	Q80U16
6819	O00338
2299	E0XEN6
2299	Q12951
173624	M1ZMI9
817688	A0A178VZ39
817688	Q8S8F7
6934	A0A0A0MTL7
6934	A0A0D9SGH8
6934	C6ZRJ7
6934	C6ZRK1
6934	C6ZRK2
6934	C6ZRK5
6934	E2GH13
6934	E2GH16
6934	E2GH18
6934	E2GH26
6934	Q5VVR7
6934	Q6FHW4
6934	Q9NQB0
850352	P25578
817684	Q9SJW9
817685	Q58G01
2290	P55316
817680	Q8VYM0
850351	P25587
2295	Q12947
817683	A0A178W047
817683	Q8RUS5
842431	A0A1P8AWT8
842431	O64783
20813	P16254
2540644	O94658
6938	A0A024R5T1
6938	A0A024R5Z0
6938	F5GY10
6938	Q99081
2540861	Q9USR0
6939	A4LBB6
6939	Q12870
6939	Q6NVX3
850355	P87012
2542171	O13789
117130	O88644
850354	P25560
105148	Q8BU30
10916	A0A024R9Y7
10916	Q9UNF1
855189	Q03798
10914	A0A024R6J7
10914	A0A024R6M3
10914	A0A0C4DGK1
10914	G3XAH6
10914	P51003
10915	O14776
10912	O95257
10913	Q9UNE0
56354	Q9QYI3
855188	Q03796
56529	Q9R0P6
116848	E9Q374
116848	F8VPM0
6813	Q15833
6813	Q53GF4
10919	A0A024RCN9
10919	A2ABF8
10919	A2ABF9
10919	B7Z852
10919	Q59FM7
10919	Q96KQ7
2543451	O42872
2543452	O42868
6812	P61764
6812	Q68CM6
2543454	O42871
2543455	P56286
2543456	Q10071
2543457	Q10069
70349	Q9JIF7
57007	P25106
57001	Q9NRP4
26757	Q3TMU8
57003	Q96A33
6814	O00186
810481	Q8IJ75
810480	Q8IJ76
16428	A1A560
16428	Q03526
16428	Q3U5G1
16428	Q5STT7
16428	Q5STT8
6817	P50225
56524	B9EHZ5
56524	Q3UN60
56524	Q9JLB0
16424	F8WJ05
16424	Q61702
16427	A6X935
16427	E9PVD2
16427	E9Q5L2
51077	G3V1S4
51077	Q4FZ45
51077	Q66K47
51077	Q9Y324
831493	Q9FFF1
16423	Q3U967
16423	Q61735
2703365	Q9QNF3
293692	Q641Z6
835318	A0A178UH76
835318	Q9FHB8
158511	Q6PB30
37724	A0A0B4LHB3
37724	P12428
2703368	G8HBD2
107701	Q8QZY9
821657	A0A178VNK7
821657	A0A1I9LS90
821657	Q39195
124944	Q8IXM2
69726	Q9CWR2
69721	Q8CEC5
64532	Q04400
81673	P62916
81672	P35400
108000	E9Q3P4
81678	P29995
3635261	Q5ANJ4
9752	Q9Y5H5
2543049	O94611
836111	A0A178UJT7
836111	Q9ZSK3
123103	A0A1B0GUB7
123103	A6NCF5
123103	B2RUZ8
841232	A0A178WDH1
841232	F4HWT0
841232	Q8LEQ4
191578	Q2VPA6
4961475	F5HDB7
4961475	Q76RG7
841720	Q8LF31
841720	Q9C933
812113	Q8IKS1
49241	A0A0B4KH79
49241	Q9VF30
166968	Q7Z3K6
57699	Q9HCH3
844770	A0A1B1W4U2
844770	P56767
56977	Q9P2F5
844773	A0A1B1W4T4
844773	P56778
844775	A0A1B1W4U0
844775	P56761
56970	Q14CW9
22953	Q32MC3
22953	Q9UBL9
22950	Q9BWU0
22955	B3KMZ7
22955	Q96GD3
22954	A0A024R843
22954	Q13049
199713	Q8WX94
2740	A0A142FHB8
2740	P43220
2743	P48167
2742	P23416
2745	A0A024RAM2
2745	P35754
9759	P56524
2747	A0A140VK14
2747	P49448
57695	A0A024R416
57695	Q86T82
13244	O09005
192528	Q8IMV0
37304	D5AEP3
37304	E1JGN5
37304	Q0E910
37304	Q7KN83
57697	Q8IYD8
856908	P06843
856909	P14736
71924	Q9D6T1
810374	Q8IJI0
856904	P40096
856906	Q03619
856907	P0CX65
856907	P0CX66
856907	P0CX67
856907	P0CX68
856907	P0CX69
856900	P40093
856901	P40094
39945	Q9VVH0
114826	Q8IYR2
24145	A0A024R397
24145	Q96RD7
2543221	O94441
24142	Q6IAP1
24142	Q93015
685232	D4A133
57693	A0A024R775
57693	A0A024R7B1
57693	Q96PQ6
338657	Q86UT8
810370	Q8IJI4
114825	Q96N64
24140	A0A024QYX5
24140	A0A0S2Z5C9
24140	B3KN91
24140	B7Z4K4
24140	Q9UET6
268752	Q8BUB4
31075	M9MSM5
31075	Q7YZA4
31075	Q8IRY0
4327804	Q8L481
50296	M9PC40
50296	M9PES4
50296	M9PF70
50296	Q9VT76
50296	X2J8X8
851488	Q07442
840102	A0A178WJY2
840102	Q9FVQ6
54726	Q01804
840107	Q84LG2
305095	D3ZE26
840105	A0A178W8Z5
840105	F4ICK7
840105	F4ICK8
851480	P50873
851481	P32419
851482	Q07468
851483	Q07458
851484	P0C2H8
851485	Q07457
851486	Q07454
851487	Q07451
3049	A0A1K0GUV5
3049	P09105
3048	D9YZU9
3048	P69892
27254	Q9Y534
3040	D1MGQ2
3040	P69905
3043	D9YZU5
3043	P68871
3042	A0A1K0FU50
3042	Q6B0K9
3045	A0N071
3045	P02042
3047	D9YZU8
3047	P69891
3046	D9YZU7
3046	P02100
850685	P21801
850684	Q07879
850687	Q07895
115761	Q969Q4
3643506	Q59Z33
850680	P32385
850683	P23900
850682	P29453
115769	Q3ZB99
850689	Q07897
850688	Q07896
67046	Q9D0K0
79932	Q8IZA0
67042	Q9D0P8
363005	Q4V8F6
363005	Q6AYU2
363005	Q6AYU5
67040	Q3U741
67040	Q501J6
67040	Q8K392
826714	O82504
19186	P97371
19186	Q5HZK3
66395	E9Q616
66395	G5E8K8
66395	Q8BRB8
66395	Q8R2L7
66394	Q9D6T0
188443	Q9TZ23
844403	Q0V7T5
831147	A0A178UJF4
831147	Q9FYA2
841856	Q9SYH4
841857	A0A178WF06
841857	Q8L793
841854	A0A178W640
841854	Q9SYH2
156110	P04601
841853	A0A178WE33
841853	Q9SYH1
850539	P07834
850538	P43582
850537	P32450
850536	P43581
850535	P43580
850534	P43579
34758	A0A1B2AKN4
34758	Q06521
850530	P35191
841117	A0A178W8X3
841117	A0A178WAW3
841117	A0A1P8ATH8
841117	Q8LC30
211948	Q3TIU4
495207	Q5XG58
729857	B4DYH0
729857	P0DJD1
36393	A1Z935
36393	A1Z936
729852	C9J7I0
815211	A0A178VT12
815211	A0A1P8AZU4
815211	Q9SKI2
36056	A1Z847
36056	Q0E9D9
855332	P49955
855333	Q03266
855330	P20084
855331	P39112
855336	Q03533
855337	Q03554
855335	Q03532
855338	Q03557
855339	P36224
34750	Q9VJZ1
308742	D4A733
34751	M9MRT5
34751	Q4TZM6
34751	Q8IP72
34751	Q9VJY9
34751	X2J5X6
34751	X2JAB1
64143	Q8CCG5
64143	Q9JIW9
189785	A0A0K3AT05
189785	Q965W3
177406	Q8IU00
34757	Q9VJY3
34754	Q9VJY6
34754	X2JE06
31069	Q9V3C6
180679	G5EGT9
31067	Q9W5A7
31066	Q9U1L6
180674	H2L051
180674	O45189
31063	Q9W5B1
31062	Q9V3A3
180671	H2L052
180671	P41934
180671	Q8MPS1
18559	Q5SV41
3959	A0A0S2Z3Y1
3959	Q08380
3958	A0A024R693
3958	P17931
91833	A0A088AWN2
91833	B3KPG5
91833	Q5JPH5
91833	Q8TBZ3
3953	P48357
3953	Q4G138
55095	A0A024R0N7
55095	M0QZ22
55095	Q5PRF9
55095	Q66K25
55095	Q8IXP7
55096	Q6P2I7
64145	A0A024R2H4
64145	A8K5H3
64145	Q9H1K0
55090	Q9NWA0
3956	P09382
3955	Q8NES3
55093	E5RHC2
55093	Q96HA8
34749	Q9VJZ2
34748	Q9VJZ3
34748	X2J875
189799	Q9XW30
855488	P53858
855489	P53859
34741	Q9VK00
855485	P32259
34743	Q9VJZ8
855487	P53857
855480	P11412
855481	P23503
855482	Q01532
855483	P13134
221035	Q6NUK4
221035	X5DP57
221035	X5DR89
35296	Q9VIP2
35297	Q9VIP1
121599	Q8N5J4
35291	Q9VIP6
35292	P48611
35293	Q9VIP4
35298	Q9VIP0
35299	Q9VIN9
66026	Q9ERZ8
24440	P02091
85238	Q62910
24446	P17945
4961462	Q2HR82
820758	A0A178VL13
820758	Q9S758
830564	A0A178UHC0
830564	B3H5W7
830564	Q84JD5
338392	Q8SXX5
338395	Q9VAY8
66028	Q9ES40
2654946	C0H4K6
181231	P41830
181230	Q20384
181230	Q8MQ51
55540	Q9NRM6
181234	G5EDI1
181234	Q0G832
117854	Q9C030
117855	F1LM37
117855	F1LSC3
852593	P38356
852592	P18480
852591	P38153
852590	P38355
852597	P38359
852596	P38358
852594	P38152
813110	Q8I3H0
22130	Q3TQG6
22130	Q62187
852599	P38361
852598	P38360
22137	Q3TPW2
22137	Q8BX21
22137	Q8BY97
856683	P39988
856682	P39987
856681	P39986
856680	P24279
856687	P39990
856686	P25515
856689	P08067
856688	P39991
165082	Q8IZF5
835218	Q9FGM9
294962	O35353
219402	Q9H2K0
276770	P63242
70549	A0A1L1SQ51
70549	E9PUM4
70549	Q3TN69
70549	Q68FD6
70549	Q71LX4
70549	Q8CDM9
115350	Q96LA6
2542196	P40984
2542194	O13795
2542195	Q9US60
2542192	O14307
2542191	O13773
230979	A0A1W2P7D5
230979	Q80WM9
51645	A0A024RCX8
51645	Q9Y3C6
32746	M9PF16
32746	M9PHG4
32746	Q00963
51647	Q9Y3D0
51646	P62699
32743	A0A0C5KMR0
32743	M9PHG0
32743	M9PHV3
32743	M9PHY4
32743	M9PJQ3
32743	Q9VX32
13004	A0A0R4IZX5
13004	P55066
32741	Q9VX35
32741	X2JFW6
32740	Q9VX36
93474	Q9BS34
396161	P42324
51649	Q9Y3D9
32748	Q7KUW6
32748	Q9VX26
32748	X2JE77
837848	A0A178WA64
837848	A0A1P8APR6
837848	F4HNZ6
837848	Q9LPW0
837849	A0A178W0A8
837849	Q9LPV9
246530	Q8MLV8
56011	P35213
56010	P61983
246534	Q95SK3
56012	O70250
56012	Q5NCI4
837840	A0A178WM16
837840	C0SUV0
837840	Q9SDS7
246538	A0A0B4KG38
246538	A1ZAF5
246538	Q29QV5
837843	A0A1P8AMU2
837843	A0A1P8AMV9
837843	Q9LPW3
98221	Q99JX4
837846	A0A178W803
837846	Q9FWX6
839998	A0A178WHK2
839998	Q9SA06
186954	Q21191
398506	Q2VPG3
821868	A0A178VHR0
821868	Q9LIK1
821865	A0A1I9LLB2
821865	Q9LIK5
2542441	Q10478
2542442	Q9P7I2
2542443	O13791
2542444	O13767
821860	A0A178VEK4
821860	A0A1I9LT97
821860	Q39009
2542446	O13823
821862	Q8LE42
74164	B1AY10
854398	Q12015
813101	Q8I3H9
36248	A1Z8N1
36246	Q7JWH5
36242	Q5U117
36243	Q7JXG9
36240	P02836
36241	A0A0B4KEM1
36241	A0A0B4KFE3
36241	A1Z8M2
36241	A8DYA3
36241	Q95T46
128239	Q86VI3
85369	Q5VSL9
1769	A0A075B6F3
1769	Q8IU65
1769	Q96JB1
253512	B3KSR0
253512	B3KTE8
253512	Q5SVS4
37531	Q9W282
85363	Q9C035
85360	Q6ZW31
85366	Q9H1R3
85365	A0A024R184
85365	Q9H553
816703	A0A178VZA8
816703	Q9SIJ5
41279	A0A0B4K623
41279	E8NH74
41279	O96553
41275	Q9VGY8
41274	Q9I7K3
41270	Q9VGZ2
41273	J7HAH8
41273	O46339
84095	Q2TBE6
2538747	Q9USN8
2538744	Q9Y7R3
2538742	O59828
2538741	Q9USP2
816700	A0A178VRN2
816700	Q94II5
816700	Q9SIJ8
2538748	Q9USN1
2538749	O74431
1761	Q9Y5R6
2539518	Q9USG6
185422	C8JQP1
185423	Q20127
42898	Q9VC96
42899	Q9VC94
5008173	A0A178UWC5
5008173	A8MR80
838518	F4HP45
838518	Q9LN63
173879	Q95QY1
42890	A0A0B4KHD4
42890	Q95R48
42891	A0A0B4KI00
42891	Q9VCA2
42892	Q9VCA1
173872	Q18235
173873	P52819
42896	A0A0B4K7R8
42896	A0A0B4KHS1
42896	P10040
42897	Q9V3H9
850946	Q06549
850947	Q06551
850944	Q06543
850945	Q01662
850942	Q06538
850943	Q06541
850940	Q06005
850941	P22543
2542798	Q09688
73181	Q8K120
850949	Q06554
39650	Q9VUL6
39651	P54399
39651	X2JGP4
39653	I0DHK8
39653	Q9VUL9
39654	Q9VUM0
39656	Q9VUM2
39657	Q9VUM3
39659	Q9V3Q6
39659	X2JFZ3
818255	P25818
288731	Q562B5
22121	P19253
22121	Q5M9M0
100778851	D6BLY3
167681	Q8N3Z0
71268	A0A0G2JEP4
71268	A0A0R4J169
71268	E9QN52
71268	Q91WK0
836463	A0A178U7M9
836463	Q8GWQ6
414660	Q6NUC0
836465	A0A178UIX2
836465	F4KAP9
836465	F4KAQ0
836465	F4KAQ2
836465	Q6IDA6
836464	A0A1P8BDM6
836464	Q9FMV7
34403	M9PB90
34403	Q9VKY2
836466	A0A178UJL4
836466	B9DG64
836466	Q9FMV5
37599	A0A0B4K8A8
37599	Q9W218
37598	Q9W219
837591	A0A178W753
837591	Q93ZV8
837594	A0A178WR91
837594	Q7XJ59
37591	Q9W227
33034	Q9VR90
33035	Q9VR91
18817	Q07832
18817	Q3TPZ2
33033	Q9VR89
37597	Q9W220
33031	Q9VR87
172839	E5QCI8
172839	O45666
100514713	F1S3C7
831853	A0A178UJS6
831853	F4KDR2
831853	Q0WWT8
831853	Q9LZ41
811779	Q8ILP6
831855	A0A1P8BFK5
831855	Q6AWW5
4969	A8K0R3
4969	B4DI63
4969	P20774
4969	Q7Z532
831856	A0A178UTH3
831856	P22954
172831	H2L2E8
172831	O18688
172832	P90849
820806	A0A178VCD0
820806	A8MRD7
820806	Q9LW15
7128	P21580
820803	A0A178VBL8
820803	Q9LW17
7126	Q13829
7127	Q03169
7124	P01375
7124	Q5STB3
67373	Q9CPN9
67373	Q9D7Y7
7122	D3DX19
7122	O00501
7123	A0A024R2Q7
7123	E9PHK0
7123	P05452
615849	Q2TBH7
37627	Q9W1Y8
37626	Q9W1Y9
37624	Q9W1Z1
37621	A0A0B4LG67
37621	Q9W1Z4
399243	Q6GPE1
818435	A0A178W063
818435	Q9S7I3
37629	D3DMF9
37629	Q24008
37628	P48159
84541	Q8NFY9
84542	Q6NSI8
132949	B4DFZ3
132949	B4E195
132949	B4E2K0
132949	B7ZAI1
132949	Q4L235
132949	R4GNB1
84545	A8K4V4
84545	Q8N983
316561	F1LNS0
69922	Q8BN21
84548	B7Z4G6
84548	E7EMM1
84548	Q8NFB2
84548	Q8TCB3
108100	B1AZ46
108100	Q3UKP6
108100	Q8BKX1
814342	O77310
373937	F1N9J4
373937	Q98TF8
373936	F1NP48
373936	Q98TF6
590	D3DNN4
590	P06276
593	A0A024R0K3
593	P12694
593	Q59EI3
69920	P60898
595	P24385
595	Q6FI00
594	A0A140VKB3
594	B4E2N3
594	B7ZB80
594	P21953
597	Q16548
596	A0A024R2B3
596	A0A024R2C4
596	P10415
599	Q92843
598	A0A0S2Z3C5
598	Q07817
598	Q5TE63
820608	B9DG91
40638	G4LU11
40638	Q59E06
40638	Q9VNA4
40639	Q9VNA5
40632	Q9VN97
178964	O44538
40630	Q9VN95
178961	O01585
40637	Q9VNA3
178962	O01590
47942	Q9VLC0
837332	Q9ZTZ7
313052	D3ZIP3
313052	D3ZKF7
363982	Q32Q05
212670	A0A0A0MQ85
14751	P06745
837339	A0A178WJ85
837339	Q9SGE2
175827	G8JY45
175827	P46563
820602	Q9SPG3
175823	Q19088
175820	P46562
171567	Q3UMG6
171567	Q8BUH2
324004	Q8JID2
843106	A0A1P8ARN9
843106	F4HTR6
843106	Q8LB88
811239	Q8I5L5
171568	A0A024R1P3
171568	Q9Y535
820607	Q9LVK6
18107	O70310
18107	Q3UJC3
18106	Q07763
18100	Q3UKS6
18100	Q9Z2Q5
18103	Q01768
18103	Q5NC82
18102	P15532
18102	Q5NC81
67959	Q3UEB3
820605	A0A178V707
820605	A0A1I9LSZ7
820605	A8MRZ7
820605	F4JEL4
820605	F4JEL5
820605	P41376
18109	P03966
18109	Q3UII1
823571	Q8RYD6
5579	P05771
5578	P17252
5578	Q7Z727
5577	A0A024R712
5577	B3KY43
5577	P31323
5576	A0A024R2W3
5576	A0A0S2Z472
5576	A8KAH7
5576	P13861
5575	P31321
2542784	O14068
5573	B2R5T5
5573	P10644
2768836	A0A0B4LFH4
2768836	Q86NV3
5571	A0A024R125
5571	P54619
5570	Q9C010
30076	Q9PTN2
30071	Q9IAK8
38262	M9PBI8
38262	Q9Y107
38263	Q9W057
38261	M9PGX7
38261	Q9W058
38264	Q9W056
76281	Q9DBG9
287022	P63103
3885844	C6KSP3
287026	P10894
31300	P23938
31301	C9QPH2
31301	P40141
393124	Q7ZW40
174881	G5EDP2
830027	Q9SZP8
3269	P35367
830025	A0A178UXV4
830025	Q9SZP6
830024	A0A178UYV3
830024	Q41188
11228	A0A024RB12
11228	A8K8G8
11228	Q8NHQ8
11227	Q7Z7M9
11226	Q8NCL4
11224	P42766
11222	P09001
11221	Q9Y6W6
19058	Q63810
8710	A8K3Q8
8710	O75635
58160	Q86UQ8
13681	P60843
13681	Q3TLL6
13681	Q5F2A7
373997	P00337
19052	P63330
19053	P62715
19053	Q8BN07
8712	O75459
19056	E0CZ78
19056	G3X8U7
19056	P48453
19057	A0A2I3BPC5
19057	P48455
19057	Q3V074
19057	Q80XK0
819405	A0A178VXF7
819405	Q94F57
819407	A0A1P8AZN4
819407	O82262
819400	A0A178VM40
819400	O82255
819401	A0A178VVW9
819401	A0A1P8B0C5
819401	C0SV95
819401	F4IM60
819401	O82256
819402	A0A178VW45
819402	A0A178VYB2
819402	C0Z2Z7
819402	Q8VY21
819403	A0A178W3L4
819403	O82258
819403	Q3EBE3
379982	Q8AVM8
819409	A0A178VXH4
819409	O82264
3564813	Q21452
828495	F4JPE9
828493	F4JPE5
828493	Q9T0A8
828492	Q9T0A7
304469	D3ZUQ0
378633	Q90YE5
828498	A0A178V403
828498	Q9XED8
812762	A0A143ZWW4
812762	P62344
40510	Q9VNP7
173053	G3MU68
173053	O45799
173053	Q7JKP1
173054	Q7JKP2
173054	Q9U362
34118	Q9VLR7
39135	Q8IQD0
39135	Q9VT35
813478	Q8I2V1
39136	Q9NCC3
39131	Q9VT31
39130	P06606
39133	P52486
39133	X2JAX3
39132	M9PEP5
39132	M9PEY1
39132	M9PF46
39132	M9PHW7
39132	Q9VT32
39132	Q9VT33
60384	O35142
39138	Q9VT38
84948	Q53EQ6
823861	Q9SD65
191701	O02323
222658	Q7Z5Y7
42460	A0A0B4KGF9
42460	A0A0B4KGK5
42460	A0A0B4KGK8
42460	A0A0B4KH21
42460	A0A0B4KH24
42460	A0A0B4KHH8
42460	A0A0B4KHI4
42460	A0A0B4KHT5
42460	A4V364
42460	A8JR54
42460	Q7KSA0
42460	Q8IN47
42460	Q8IN48
42460	Q95TW4
42460	Q9VDI8
42463	Q0KI39
42463	Q9VDI5
42462	Q9VDI6
42465	Q9VDI3
42464	A0A1B2AL12
42464	P55828
42467	A0A0B4KH28
42467	Q9VDI1
42466	Q9Y0Y2
42468	Q8SY05
16625	P29621
12759	Q06890
12759	Q549A5
12757	B1AWD8
12757	B1AWD9
12757	B1AWE0
12757	B1AWE1
12757	Q6PFA2
38581	Q9VZ82
12753	A0A0J9YU61
12753	O08785
12753	Q3UWG6
12753	Q6ZQD6
12753	Q8C9W6
161882	Q8IX07
12751	O89023
832771	F4K2U3
832770	O04658
832773	A0A178UHQ8
832773	Q0WVZ5
832773	Q68KI4
832772	O04656
839506	A0A178W1N4
839506	A0A1P8AWM0
839506	Q67XQ1
839506	Q8L9T7
839505	A0A178WAC0
839505	Q9SA68
832779	F4K2U8
13684	A0A0G2JFB4
13684	P63073
13684	Q3TK95
13684	Q8C470
53840	Q9BYJ4
16994	A0A0U5JAA2
16994	P41155
9118	Q16352
836853	A0A1P8BFY4
836853	A0A1P8BFZ3
836853	A0A1P8BG04
836853	Q9FH95
833828	A0A178URY8
833828	B3H5S2
833828	F4KA76
833828	P10798
833829	P10797
9111	Q13287
9110	Q9NYA4
9113	O95835
9112	Q13330
9112	Q9BRL8
16998	F8VQ06
16998	Q61810
9114	P61421
9114	R4GN72
9117	A0A024R2N5
9117	A0A024R2Q1
9117	Q9BRL7
833821	F4KA71
833821	Q8RWM9
176100	P34661
176103	P34659
12287	A2AIR9
12287	A2AIS0
12287	O55017
176105	P34269
236511	Q8BJP2
236511	Q8CJG1
283820	Q5JPE7
176109	P34673
12288	A0A087WS40
12288	A0A087WSE7
12288	C7TQ57
12288	C7TQ58
12288	C7TQ59
12288	C7TQ60
12288	C7TQ61
12288	C7TQ62
12288	F7C376
12288	F8WJL1
12288	Q01815
12288	Q0PCR6
12289	A0A286YD72
12289	Q99246
844704	A0A1B1W4Y9
844704	P61847
818449	A0A178VVP1
818449	Q9ZVI9
818448	A2RVV7
70620	A6X925
70620	Q4VBX4
70620	Q9D2M8
831087	A0A178UCE6
831087	Q945Q1
58875	Q99L13
818444	A0A1P8B0A0
818444	Q2V419
818443	A0A178W1F1
818443	Q9ZVI3
818440	A0A1P8B2R9
818440	A0A1P8B2V6
818440	Q682E1
56142	Q9UN73
64089	P57768
821329	A0A1I9LRW0
821329	A0A1I9LRW1
821329	A0A1I9LRW2
821329	F4J7I7
821329	Q9LV37
64087	A0A140VK29
64087	Q9HCC0
821327	Q9SWE5
821324	A0A178VHS8
821324	Q9FR44
821325	Q6X7K0
64083	Q9H4A6
824131	A0A178VK29
824131	Q9M2Y9
64081	A0A024QZK5
64081	P30039
64080	Q9H477
42285	Q9V437
