Proteome ID,Organism,Organism ID,Protein count
UP000019148,Borrelia duttonii CR2A,1432657,1995
UP000009016,Aeromonas phage CC2,1204516,427
UP000091969,Tepidimonas fonticaldi,1101373,2430
UP000001464,Staphylococcus phage EW,320841,77
UP000019191,Klebsiella pneumoniae IS46,1432553,5364
UP000019194,Escherichia coli ISC11,1432557,6130
UP000019226,Corynebacterium casei LMG S-19264,1285583,2769
UP000019233,Bdellovibrio bacteriovorus W,765869,2854
UP000019244,Listeria rocourtiae FSL F6-920,1265846,3254
UP000000371,Streptococcus phage O1205 (Streptococcus bacteriophage phi-O1205),85154,57
UP000019249,Listeria floridensis FSL S10-1187,1265817,2904
UP000007507,Herbaspirillum sp. YR522,1144342,4612
UP000008955,Blautia obeum A2-162,657314,3155
UP000008959,butyrate-producing bacterium SM4/1,245012,1684
UP000008961,butyrate-producing bacterium SS3/4,245014,2993
UP000018803,Mycobacterium phage JAMaL,1429905,98
UP000008728,Deep-sea thermophilic phage D6E,749413,49
UP000007076,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),452652,7443
UP000020077,Candidatus Accumulibacter sp. BA-91,1454002,4449
UP000008170,Human coronavirus HKU1 (isolate N1) (HCoV-HKU1),443239,9
UP000020218,Candidatus Accumulibacter sp. SK-12,1454001,3906
UP000008544,Desulforudis audaxviator (strain MP104C),477974,2136
UP000002939,Granulicatella elegans ATCC 700633,626369,1562
UP000002968,Streptomyces griseoflavus Tu4000,467200,6337
UP000002793,marine gamma proteobacterium HTCC2148,247634,3825
UP000003963,Streptomyces himastatinicus ATCC 53653,457427,9177
UP000003824,Streptomyces ghanaensis ATCC 14672,566461,7865
UP000092025,Mycobacterium sp. ACS1612,1834117,6361
UP000007819,Acyrthosiphon pisum (Pea aphid),7029,35819
UP000057710,Clostridia bacterium BRH_c25,1734399,4592
UP000054997,Legionella londiniensis,45068,2172
UP000011148,Rhizobium phage RHEph06,1220714,82
UP000003794,Mycobacterium phage Dorothy,1225861,104
UP000054563,Coccidioides immitis H538.4,396776,10588
UP000054347,Bacteroides sp. SM1_62,1703351,2092
UP000054266,Phialophora americana,5601,11503
UP000052254,Janthinobacterium sp. CG23_2,1706231,7002
UP000051394,Nitrospira bacterium SG8_3,1704023,5253
UP000142477,Turkeypox virus,336486,170
UP000035039,Smithella sp. D17,1538639,1343
UP000034879,Candidatus Nomurabacteria bacterium GW2011_GWB1_47_6,1618749,581
UP000034811,Parcubacteria group bacterium GW2011_GWC2_44_17,1618929,1065
UP000034605,Candidatus Moranbacteria bacterium GW2011_GWF1_34_10,1618715,1233
UP000034575,Candidatus Woesebacteria bacterium GW2011_GWD1_47_21,1618594,385
UP000034534,Parcubacteria group bacterium GW2011_GWA2_40_23,1618816,1221
UP000034508,Berkelbacteria bacterium GW2011_GWA1_36_9,1618331,920
UP000034236,Candidatus Nomurabacteria bacterium GW2011_GWA2_41_25,1618736,467
UP000034183,Candidatus Peregrinibacteria bacterium GW2011_GWF2_33_10,1619065,1394
UP000034156,Nitrosomonas communis,44574,3064
UP000034164,Emmonsia crescens UAMH 3008,1247875,9444
UP000034025,Parcubacteria group bacterium GW2011_GWA2_42_14,1618820,1246
UP000033860,Candidatus Beckwithbacteria bacterium GW2011_GWB1_47_15,1618371,1146
UP000033695,Lactobacillus mellis,1218508,1572
UP000033566,Corynebacterium camporealensis,161896,2245
UP000078325,Opitutaceae bacterium TAV4,278959,4120
UP000075578,Arc I group archaeon U1lsi0528_Bin089,1705564,1961
UP000030307,Pantoea sp. PSNIH1,1484158,3922
UP000000267,Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294) (Kluyveromyces polysporus),436907,5353
UP000029408,Candidatus Izimaplasma sp. HR1,1541959,1811
UP000142218,Human papillomavirus type 90,333769,7
UP000051125,Altererythrobacter sp. Root672,1736584,3454
UP000051948,Paenibacillus sp. Soil787,1736411,6429
UP000034611,Candidatus Woesebacteria bacterium GW2011_GWC1_43_10b,1618585,346
UP000034531,Candidatus Curtissbacteria bacterium GW2011_GWA1_40_16,1618405,1037
UP000034131,Parcubacteria group bacterium GW2011_GWE1_40_20,1618946,862
UP000034022,Candidatus Falkowbacteria bacterium GW2011_GWE1_38_31,1618638,1164
UP000033865,Candidatus Uhrbacteria bacterium GW2011_GWC2_53_7,1618986,627
UP000033618,Paraburkholderia andropogonis,28092,4737
UP000032215,Bradyrhizobium elkanii,29448,6820
UP000031636,Winogradskyella sp. PG-2,754409,3520
UP000067434,Thermofilum uzonense,1550241,1454
UP000001040,Enterobacteria phage YYZ-2008,564886,75
UP000029872,Helicobacter sp. MIT 05-5293,1548149,1706
UP000033049,Methanosarcina sp. MTP4,1434100,3238
UP000183974,Roseovarius pacificus,337701,4424
UP000093510,Flavobacterium crassostreae,1763534,2424
UP000023044,Cloacibacillus evryensis DSM 19522,866499,1082
UP000023351,Mycobacterium abscessus subsp. bolletii 1513,1299321,5985
UP000184114,Tissierella praeacuta DSM 18095,1123404,3095
UP000094492,Rhodanobacter sp. SCN 68-63,1660134,2665
UP000160569,Faeces associated gemycircularvirus 7,1391036,2
UP000184731,Proteobacteria bacterium Nonnen-W8red,1793725,2865
UP000029665,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),5643,10180
UP000070371,Halocynthiibacter arcticus,1579316,3882
UP000030129,Flavobacterium beibuense F44-8,1406840,3263
UP000030340,Mycobacterium sp. VKM Ac-1817D,1273687,6074
UP000030689,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),72664,28349
UP000094636,Rhodospirillales bacterium SCN 65-16,1660166,1124
UP000018190,Clostridium sp. CAG:710,1262833,1170
UP000029516,Cedecea neteri,158822,4399
UP000031944,Sulfurovum sp. FS06-10,1539064,2319
UP000032515,Rhodopseudomonas palustris,1076,5580
UP000033614,Avibacterium paragallinarum (Haemophilus gallinarum),728,2171
UP000033827,Candidatus Moranbacteria bacterium GW2011_GWE2_36_40,1618713,969
UP000034033,Candidatus Curtissbacteria bacterium GW2011_GWC2_41_21,1618415,1141
UP000034190,Candidatus Falkowbacteria bacterium GW2011_GWA2_41_14,1618635,455
UP000034329,Candidatus Woesebacteria bacterium GW2011_GWB1_45_5,1618581,755
UP000034539,Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8,1618450,1544
UP000034706,Candidatus Azambacteria bacterium GW2011_GWA2_39_10,1618611,338
UP000034885,Microgenomates group bacterium GW2011_GWA2_46_16,1618501,720
UP000036771,Caedibacter varicaedens,1629334,1663
UP000037505,Aspergillus nomius NRRL 13137,1509407,11914
UP000050878,Methanolinea sp. SDB,1735327,2037
UP000054198,Propionibacterium sp. DORA_15,1403938,565
UP000054598,Methanoculleus marisnigri,2198,2106
UP000059222,Coxiella endosymbiont of Amblyomma americanum,325775,536
UP000065566,Aneurinibacillus sp. XH2,1450761,3424
UP000058290,methanogenic archaeon ISO4-H5,1495144,1805
UP000075227,Betaproteobacteria bacterium UKL13-2,1690485,2745
UP000075653,Ferrovum sp. Z-31,1789004,2451
UP000075350,Bacillus sp. KCTC 13219,1811976,3616
UP000091879,Pseudogymnoascus sp. 23342-1-I1,1524831,10680
UP000054498,Monoraphidium neglectum,145388,16738
UP000093111,Pararhizobium polonicum,1612624,5658
UP000006298,Bacillus phage BCD7,1136534,140
UP000157847,Callinectes ornatus blue crab associated circular virus,1692245,2
UP000109876,Bovine polyomavirus 2,1578134,6
UP000158532,Gammarus sp. amphipod associated circular virus,1692250,2
UP000007045,Acinetobacter phage AB1,889876,85
UP000148789,Simian retrovirus Y,980635,4
UP000171028,Cyclovirus SL-108277,1520935,2
UP000015097,Brevibacillus phage Emery,1296660,102
UP000002902,Escherichia phage ECML-117,1204521,94
UP000105477,Circoviridae 6 LDMD-2013,1379710,3
UP000011156,Acinetobacter phage AB3,1273713,29
UP000126644,Poecile atricapillus GI tract-associated gemycircularvirus,1699094,2
UP000166373,Phodopus sungorus papillomavirus type 1,1487796,6
UP000014740,Puniceispirillum phage HMO-2011,948071,74
UP000177109,Spirochaetes bacterium GWF1_51_8,1802190,3174
UP000178919,Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_02_FULL_55_12,1798522,458
UP000027014,Geomicrobium sp. JCM 19038,1460635,4086
UP000180322,Chloroflexi bacterium RBG_19FT_COMBO_47_15,1797664,505
UP000179153,Candidatus Spechtbacteria bacterium RIFCSPLOWO2_01_FULL_46_10,1802163,340
UP000013568,Serratia symbiotica str. Tucson,914128,2157
UP000014423,Stenotrophomonas phage phiSMA7,1343494,10
UP000054223,Solirubrum puertoriconensis,1751427,4037
UP000178186,Candidatus Ryanbacteria bacterium RIFCSPLOWO2_02_FULL_45_11c,1802128,623
UP000180540,Chloroflexi bacterium RBG_19FT_COMBO_48_23,1797666,625
UP000184521,Flavobacterium frigidimaris,262320,4947
UP000179200,Deltaproteobacteria bacterium GWD2_55_8,1797823,1525
UP000177860,Betaproteobacteria bacterium RBG_16_56_24,1797475,2382
UP000177672,Deltaproteobacteria bacterium RBG_13_52_11b,1797830,1768
UP000176917,Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_01_FULL_48_16,1802461,610
UP000178323,Candidatus Falkowbacteria bacterium RBG_13_39_14,1797985,938
UP000177197,Candidatus Azambacteria bacterium RIFCSPLOWO2_02_FULL_44_14,1797306,721
UP000177701,Candidatus Atribacteria bacterium RBG_19FT_COMBO_35_14,1797291,1654
UP000179378,Gammaproteobacteria bacterium RBG_16_37_9,1798264,893
UP000176450,Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_46_9,1798394,655
UP000178584,Candidatus Melainabacteria bacterium GWF2_37_15,1801606,2319
UP000178956,Candidatus Peribacteria bacterium RIFCSPHIGHO2_02_FULL_51_15,1801919,991
UP000176338,Candidatus Margulisbacteria bacterium GWF2_35_9,1817873,1983
UP000180315,Chloroflexi bacterium RBG_16_58_14,1797654,1101
UP000178647,Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_32,1801672,589
UP000179274,Candidatus Nomurabacteria bacterium RIFOXYA1_FULL_35_17,1801798,533
UP000177811,Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_51_29,1802273,1114
UP000178176,Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_32b,1797253,979
UP000094336,Babjeviella inositovora NRRL Y-12698,984486,6394
UP000032420,Candidatus Evansia muelleri,1495769,330
UP000005737,Leptonema illini DSM 21528,929563,4129
UP000005778,Desulfobacter postgatei 2ac9,879212,3396
UP000022668,Methylophilaceae bacterium 11,1101195,2589
UP000069926,Arsenophonus symbiont of Lipoptena fortisetosa,634113,625
UP000053259,Verruconis gallopava,253628,10768
UP000183982,Pseudopelagicola gijangensis,1470563,4001
UP000003163,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,4189
UP000178704,Elusimicrobia bacterium RIFOXYA2_FULL_39_19,1797957,2460
UP000016931,Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva),692275,10154
UP000018256,Corallococcus sp. CAG:1435,1262867,1300
UP000124656,BtVs-BetaCoV/SC2013,1495253,10
UP000161175,Callinectes sapidus associated circular virus,1692246,2
UP000142997,Sparrow coronavirus HKU17,1159906,8
UP000155130,Torque teno mini virus 8,687376,2
UP000152522,Canine papillomavirus 11,1091166,8
UP000001878,Lactobacillus phage Lb338-1,632112,199
UP000008874,Miscanthus streak virus (isolate 91) (MiSV),268776,5
UP000146577,Human papillomavirus type 141,1070414,7
UP000028662,Vibrio phage ICP2_2013_A_Haiti,1529058,57
UP000094622,Methylobrevis pamukkalensis,1439726,4503
UP000162802,Avian gyrovirus 2,1002273,3
UP000176037,Alteromonas lipolytica,1856405,4316
UP000178910,Nitrospirae bacterium RBG_16_43_8,1801707,932
UP000184363,Pseudonocardia thermophila,1848,5850
UP000182404,Candidatus Omnitrophica bacterium CG1_02_46_14,1805288,1106
UP000148233,Menangle virus,152219,7
UP000000623,Yersinia phage Yepe2,532078,46
UP000001756,Streptococcus phage Sfi19,72638,43
UP000165562,Circoviridae 21 LDMD-2013,1379725,3
UP000146712,Jurona vesiculovirus,1972568,5
UP000110876,Gyrovirus GyV8,1670973,3
UP000117015,Human papillomavirus type 137,1070410,7
UP000109002,Human papillomavirus type 161,1315264,6
UP000132920,Avian endogenous retrovirus EAV-HP,93465,1
UP000097722,Avon-Heathcote Estuary associated circular virus 5,1618256,2
UP000030324,Escherichia phage Pollock,1540097,84
UP000002406,Mycobacterium phage Qyrzula,373414,81
UP000023198,Mycobacterium xenopi 3993,1299333,10123
UP000032287,Weissella cibaria,137591,2282
UP000031641,Mycoplasma canadense,29554,481
UP000007864,Pseudomonas phage OBP,1124849,309
UP000030851,Paenibacillus sp. P1XP2,1472719,6608
UP000000918,Staphylococcus phage 187,55511,77
UP000183138,Marine Group III euryarchaeote CG-Epi3,1888997,695
UP000019112,Holospora obtusa F1,1399147,1116
UP000002213,Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / NBRC 14064 / IMRU 3971),446462,6912
UP000075683,Caldibacillus debilis,301148,4240
UP000007283,Phyllobacterium sp. YR531,1144343,4844
UP000177630,Nitrospirae bacterium GWC2_56_14,1801696,2510
UP000178485,Petrimonas mucosa,1642646,2896
UP000178264,Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_49_11,1802409,765
UP000176558,Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_12_FULL_39_23,1802776,601
UP000177011,Candidatus Wolfebacteria bacterium RIFCSPLOWO2_01_FULL_47_17b,1802558,763
UP000166396,Ixcanal virus,1006586,4
UP000095245,Curtobacterium sp. ER1/6,1891920,3099
UP000107012,Mink circovirus,1475143,2
UP000075900,Anopheles funestus (African malaria mosquito),62324,13575
UP000178680,Spirochaetes bacterium RIFOXYC1_FULL_54_7,1802198,2446
UP000063460,Micromonospora rifamycinica,291594,5460
UP000061569,Lysobacter enzymogenes,69,5514
UP000058020,Candidatus Thioglobus autotrophicus,1705394,1488
UP000054693,Legionella tucsonensis,40335,2936
UP000054466,Cladophialophora immunda,569365,13606
UP000053944,Psychromonas sp. PRT-SC03,1527299,787
UP000053615,Colius striatus (Speckled mousebird),57412,7080
UP000052243,Leptolyngbya sp. NIES-2104,1552121,6684
UP000051988,Desulfobacterales bacterium SG8_35,1703400,2236
UP000051748,Methanoculleus sp. SDB,1735326,2051
UP000034379,Microgenomates group bacterium GW2011_GWB1_40_9,1618504,568
UP000034108,Candidatus Magasanikbacteria bacterium GW2011_GWC2_41_17,1619048,770
UP000054359,Stegodyphus mimosarum,407821,27009
UP000091997,Pseudogymnoascus sp. WSF 3629,1622147,11000
UP000076717,Rathayibacter tanaceti,1671680,3209
UP000075398,Arc I group archaeon U1lsi0528_Bin055,1705409,2291
UP000117623,Avian paramyxovirus 2,35302,6
UP000070691,Nitrospira sp. OLB3,1617410,3743
UP000070395,Chloroflexi bacterium OLB13,1617414,3869
UP000070259,Alcanivorax sp. Nap_24,1795868,2417
UP000064243,Thiobacillus denitrificans,36861,3078
UP000061366,Streptomyces sp. CFMR 7,1649184,6713
UP000167233,Mosquito circovirus,1611039,2
UP000161625,Artemia melana sponge associated circular genome,1692243,1
UP000029597,Prevotella sp. S7-1-8,1284775,2240
UP000001239,Pseudomonas phage EL,273133,201
UP000175168,Meleagrid herpesvirus 1 (MeHV-1) (Turkey herpesvirus),37108,87
UP000095036,Luteimonas sp. JM171,1896164,2668
UP000120202,HIV-1 M_02CD.LBTB084,576901,6
UP000054815,Trichinella pseudospiralis (Parasitic roundworm),6337,14914
UP000053513,Novosphingobium sp. MBES04,1206458,4731
UP000053086,Lysinibacillus sp. F5,1700846,4209
UP000051230,Lactobacillus amylophilus DSM 20533 = JCM 1125,1423721,1532
UP000050301,Acidiplasma cupricumulans,312540,1683
UP000050831,Bacillus sp. FJAT-25509,1712029,4458
UP000037660,Ideonella sakaiensis (strain 201-F6),1547922,5527
UP000036176,Mycobacterium chubuense,1800,5700
UP000037405,Bacillus marisflavi,189381,4143
UP000034524,Sphingobacterium sp. Ag1,1643451,4687
UP000034128,candidate division WWE3 bacterium GW2011_GWA2_44_16,1619110,366
UP000033862,Berkelbacteria bacterium GW2011_GWA1_39_10,1618332,375
UP000033434,Pseudoalteromonas luteoviolacea S4054,1129367,5121
UP000032214,candidate division TM6 bacterium JCVI TM6SC1,1306947,860
UP000031449,Jeotgalibacillus malaysiensis,1508404,4426
UP000031584,Streptomyces sp. 150FB,1576605,7086
UP000030699,Plasmodium falciparum MaliPS096_E11,1036727,6301
UP000030439,Desulfosporosinus sp. Tol-M,1536651,2539
UP000030149,Flavobacterium enshiense DK69,1107311,2848
UP000029857,Helicobacter bilis,37372,1969
UP000029445,Cryptococcus gattii serotype B (strain R265) (Filobasidiella gattii) (Cryptococcus bacillisporus),294750,6471
UP000182935,Thiomicrospira sp. CG2_30_44_34,1805397,2198
UP000157713,Porcine circovirus,46221,1
UP000027920,Exophiala aquamarina CBS 119918,1182545,13118
UP000027604,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,1349767,5488
UP000131018,Bovine polyomavirus 3,1561705,5
UP000024810,Staphylococcus aureus C0673,1413510,2816
UP000179244,Nitrospirae bacterium RBG_16_43_11,1801706,1129
UP000029252,actinobacterium acAMD-2,1504318,965
UP000051070,SAR92 bacterium BACL16 MAG-120619-bin48,1655625,2253
UP000051658,Carnobacterium divergens DSM 20623,1449336,2398
UP000051965,Knoellia sp. Soil729,1736394,3242
UP000059956,Hymenobacter sp. PAMC 26628,1484118,4319
UP000019790,Lactococcus phage P118,1476888,80
UP000076799,Synechococcus sp. MIT S9508,1801629,2817
UP000092708,Chryseobacterium sp. MOF25P,1664318,4239
UP000172296,Cyclovirus ZM54,1506572,2
UP000101850,Avon-Heathcote Estuary associated circular virus 7,1618258,2
UP000001587,Lactococcus phage Tuc2009 (Lactococcus lactis bacteriophage Tuc2009),35241,56
UP000000506,Nitrososphaera phage Pro-Nvie1,927392,30
UP000097271,Canine oral papillomavirus (strain Y62) (COPV),766192,7
UP000102297,Human papillomavirus type 62,334210,7
UP000010364,Bacillus phage phiAGATE,1204533,204
UP000009152,Simian immunodeficiency virus (isolate MB66) (SIV-cpz) (Chimpanzee immunodeficiency virus),388911,9
UP000001263,Enterococcus phage phiFL3A,673837,64
UP000002907,Yersinia phage phiR8-01,1206556,50
UP000006857,Organic Lake virophage,938080,24
UP000177505,Omnitrophica bacterium RIFOXYB12_FULL_50_7,1801835,1455
UP000177062,Candidatus Colwellbacteria bacterium RBG_13_48_8,1797685,247
UP000179371,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12,1798288,1115
UP000179278,Hydrogenophilales bacterium RIFOXYD1_FULL_62_11,1798415,3110
UP000178063,Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15,1797895,4940
UP000178168,Candidatus Yonathbacteria bacterium RIFOXYD1_FULL_52_36,1802730,781
UP000176831,Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16,1797904,2074
UP000176986,Candidatus Pacearchaeota archaeon RBG_13_33_26,1801880,677
UP000178013,Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_54_31,1801637,667
UP000178085,candidate division Kazan bacterium RIFCSPLOWO2_01_FULL_45_19,1798538,648
UP000030116,Porphyromonas sp. COT-290 OH860,1515615,1618
UP000005666,Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii),1071381,5238
UP000008698,Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum),526221,10233
UP000006640,Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / NBRC 14880 / R51),469371,3545
UP000078308,Arachidicoccus sp. BS20,1850526,2946
UP000182804,Candidatus Omnitrophica bacterium CG1_02_49_10,1805289,813
UP000181992,Candidatus Nomurabacteria bacterium CG1_02_43_90,1805281,705
UP000178853,Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_12_FULL_39_8,1802050,795
UP000030667,uncultured archaeon A07HN63,1412873,2505
UP000119023,Pacific flying fox faeces associated gemycircularvirus-12,1795991,3
UP000030754,Eimeria necatrix,51315,8608
UP000167685,Pteronotus parnellii polyomavirus 1,1606501,5
UP000015104,Tetranychus urticae (Two-spotted spider mite),32264,17526
UP000106941,Po-Circo-like virus 41,1105385,3
UP000030224,Pseudomonas phage vB_PaeM_C2-10_Ab08,1548903,173
UP000007175,Campylobacter virus IBB35,1006972,67
UP000164175,Human papillomavirus type 71,120686,7
UP000137095,Tupaiid herpesvirus 1 (strain 1) (TuHV-1) (Herpesvirus tupaia (strain 1)),10397,157
UP000094087,Candidatus Altiarchaeales archaeon WOR_SM1_86-2,1849364,2066
UP000177861,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_40_19,1798281,1863
UP000172665,Lytechinus variegatus variable sea urchin associated circular virus,1692254,2
UP000094474,Acidobacteria bacterium SCN 69-37,1660160,3784
UP000095759,Streptomyces agglomeratus,285458,7342
UP000027879,Georgenia sp. SUBG003,1497974,2701
UP000002235,Aeromonas phage phiAS4,879628,271
UP000002955,Brevundimonas diminuta (strain ATCC 11568 / DSM 7234 / NBRC 12697 / NCIMB 9393 / NCTC 8545),751586,3002
UP000177341,Candidatus Pacebacteria bacterium RIFOXYD1_FULL_39_27,1801892,767
UP000177483,Candidatus Levybacteria bacterium RIFCSPHIGHO2_02_FULL_37_13,1798602,1030
UP000010370,Enterobacteria phage HK633,1147147,67
UP000123877,Mikumi yellow baboon virus 1,1546177,13
UP000029880,Mycobacterium phage QuinnKiro,1551642,87
UP000055035,Legionella jordanis,456,2787
UP000111010,Pacific flying fox faeces associated gemycircularvirus-13,1795992,3
UP000078500,Acidobacteria bacterium SCGC AG-212-P17,1803033,481
UP000077319,Erythrobacter sp. HI00D59,1822215,3091
UP000001482,Streptococcus phage 5093,646413,48
UP000075614,Candidatus Bathyarchaeota archaeon B63,1779372,823
UP000074294,Hadesarchaea archaeon YNP_45,1776334,1281
UP000071057,Sporosarcina psychrophila (Bacillus psychrophilus),1476,4219
UP000070449,candidate division WS6 bacterium OLB21,1617427,1140
UP000069632,Campylobacter fetus subsp. fetus,32019,1901
UP000063628,Arthrobacter sp. Hiyo1,1588020,4376
UP000054408,Thecamonas trahens ATCC 50062,461836,10604
UP000053828,Desulfotomaculum sp. 46_80,1641375,2206
UP000053661,Tauraco erythrolophus (Red-crested turaco),121530,10099
UP000051899,Omnitrophica WOR_2 bacterium SM23_72,1703777,2511
UP000051681,Thalassobius mediterraneus,340021,3260
UP000051496,Microgenomates bacterium DG_75,1703769,448
UP000051100,Nocardioides sp. Soil774,1736408,3597
UP000050987,Spirochaetes bacterium DG_61,1704237,3725
UP000050398,Bacillus vietnamensis,218284,4104
UP000037118,Clostridium sp. DMHC 10,747377,2713
UP000035062,Alishewanella agri BL06,1195246,3152
UP000034862,candidate division TM6 bacterium GW2011_GWF2_30_66,1619078,932
UP000094540,Thiobacillus sp. SCN 63-1177,1660147,1485
UP000030019,Streptococcus sinensis,176090,1992
UP000053586,Glaciecola punicea ACAM 611,1121923,2883
UP000051348,Afipia sp. Root123D2,1736436,4397
UP000048908,Jannaschia rubra,282197,3629
UP000037746,Nocardia sp. NRRL S-836,1519492,7876
UP000034814,Parcubacteria group bacterium GW2011_GWA2_43_9b,1618828,860
UP000033825,Candidatus Kaiserbacteria bacterium GW2011_GWA2_49_56,1618670,130
UP000031386,Parvimonas micra,33033,1418
UP000031573,Streptomyces sp. RSD-27,1571774,7400
UP000029625,Sphingopyxis sp. LC363,1120705,3880
UP000028504,Corynebacterium atypicum,191610,1533
UP000176241,Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_39_8,1797533,716
UP000166946,Rodent Torque teno virus 1,1514664,4
UP000029494,Lactobacillus sp. wkB8,1545702,1772
UP000034066,Parcubacteria group bacterium GW2011_GWA1_49_26,1618797,716
UP000034452,Candidatus Nomurabacteria bacterium GW2011_GWB1_40_7,1618744,587
UP000034809,Microgenomates group bacterium GW2011_GWC1_43_13,1618521,764
UP000005741,Methanoplanus limicola DSM 2279,937775,2928
UP000036987,Zostera marina (Eelgrass),29655,20559
UP000030150,Porphyromonas sp. COT-239 OH1446,1515613,1412
UP000054281,Sphingomonadales bacterium BRH_c42,1734407,2030
UP000054474,Schistosoma haematobium (Blood fluke),6185,11119
UP000056090,Alteromonas australica,589873,3445
UP000059542,Hymenobacter sedentarius,1411621,3828
UP000065822,Capnocytophaga haemolytica,45243,2225
UP000069933,Curtobacterium sp. MR_MD2014,1561023,2675
UP000075468,Thermoplasmatales archaeon SG8-52-2,1803817,1226
UP000003022,Streptomyces griseoaurantiacus M045,996637,6839
UP000092504,Halomonas elongata,2746,4641
UP000127827,Human papillomavirus type 152,990302,6
UP000050788,Schistocephalus solidus (Tapeworm),70667,20215
UP000009049,Robiginitalea biformata (strain ATCC BAA-864 / HTCC2501 / KCTC 12146),313596,3211
UP000001298,Pseudomonas phage PaP2,270673,58
UP000110725,Iaco virus,273356,3
UP000001043,Clostridium virus phiCD27,559189,75
UP000008071,Lactococcus phage SL4,287412,52
UP000177498,Deltaproteobacteria bacterium RBG_16_54_11,1797842,1973
UP000177435,Chloroflexi bacterium RBG_16_56_8,1797650,1251
UP000178762,Fluviicola sp. RIFCSPHIGHO2_12_FULL_43_24,1798019,3818
UP000180314,Chloroflexi bacterium RBG_13_51_18,1797624,1350
UP000176614,candidate division WWE3 bacterium RIFOXYA2_FULL_46_9,1802636,972
UP000095228,Lacunisphaera limnophila,1838286,3510
UP000182108,Tepidiphilus thermophilus,876478,2181
UP000158564,Torque teno mini virus 3,687371,3
UP000029342,Idiomarinaceae phage Phi1M2-2,1527515,65
UP000006511,Staphylococcus phage SpaA1,1118063,63
UP000008237,Harpegnathos saltator (Jerdon's jumping ant),610380,15029
UP000175905,Stenotrophomonas sp. BIIR7,1904462,3796
UP000000383,Methylotenera versatilis (strain 301),666681,2752
UP000149132,Gemycircularvirus SL1,1588764,2
UP000070463,candidate divison MSBL1 archaeon SCGC-AAA259I09,1698267,1400
UP000168915,Human adenovirus E serotype 4 (HAdV-4) (Human adenovirus 4),28280,30
UP000177399,Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_47_10b,1817738,945
UP000157251,Human papillomavirus 184,1472343,6
UP000018333,Dorea longicatena CAG:42,1263074,2196
UP000183024,Porphyromonadaceae bacterium CG2_30_38_12,1805325,2052
UP000184387,Roseomonas rosea,198092,5011
UP000004095,Microscilla marina ATCC 23134,313606,8248
UP000007703,Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae),306902,5932
UP000028926,Candidatus Paracaedibacter acanthamoebae,91604,1803
UP000031419,Saccharopolyspora rectivirgula,28042,3222
UP000178205,Nitrospirae bacterium GWB2_47_37,1801692,2462
UP000177369,Candidatus Curtissbacteria bacterium RIFCSPHIGHO2_02_FULL_40_16b,1797714,947
UP000178656,Candidatus Falkowbacteria bacterium RIFOXYC2_FULL_48_21,1798005,970
UP000029299,Pseudogymnoascus sp. VKM F-4246,1420902,8539
UP000007622,Cabbage leaf curl virus (isolate Jamaica) (CaLCuV),345184,7
UP000027824,Campylobacter mucosalis,202,1514
UP000066737,Halobacterium hubeiense,1407499,3340
UP000118530,Fiddler Crab associated circular virus,1692249,2
UP000151881,Avon-Heathcote Estuary associated circular virus 20,1618244,2
UP000014669,Lactococcus phage phi7,1262538,57
UP000008646,Mycobacterium phage Wonder,927988,33
