yeDUF,Conservation depth,Sc - present,Sc - essential,Sp - present,SP - essential,inference method,Sc proteins/COGs,Sp proteins/COGs,Sc-specific GOSlims,Sc/SP shared GOSlims,Sp-specific GOSlims
PF06012,eukaryotic,X,X,X,,EM,Q03280 (COG5021@NOG),O13834 (COG5021@NOG),GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0006997 (nucleus organization); GO:0015931 (nucleobase-containing compound transport); GO:0016740 (transferase activity); GO:0016874 (ligase activity); GO:0048285 (organelle fission); GO:0051169 (nuclear transport),GO:0070647 (protein modification by small protein conjugation or removal),GO:0006913 (nucleocytoplasmic transport)
PF02453,eukaryotic,X,X,X,X,rule-based/EM,Q04947 ();Q12443 (),P53694 (),GO:0005783 (endoplasmic reticulum); GO:0005794 (Golgi apparatus); GO:0006997 (nucleus organization); GO:0016020 (membrane),,GO:0061024 (membrane organization)
PF10863,eukaryotic,X,X,,X,rule-based/EM,P53317 (),,GO:0005634 (nucleus); GO:0005730 (nucleolus); GO:0006364 (rRNA processing),,
PF15496,eukaryotic,,,X,X,EM,,Q9P6I6 (),,,
PF10329,eukaryotic,X,X,X,,EM,P53925 (COG0596@NOG),O13912 (COG0596@NOG),GO:0016020 (membrane),,
PF10310,eukaryotic,X,X,X,X,rule-based/EM,P47018 (),O94548 (),"GO:0016023 (cytoplasmic, membrane-bounded vesicle)",,
PF06650,eukaryotic,X,X,X,X,EM,Q07878 (COG5043@NOG),P87319 (COG5043@NOG);O42926 (COG5043@NOG),GO:0005794 (Golgi apparatus); GO:0016020 (membrane); GO:0016197 (endosomal transport),GO:0006605 (protein targeting),GO:0016192 (vesicle-mediated transport)
PF10313,eukaryotic,X,,X,X,EM,Q99296 (),P87229 (),,,
PF07774,eukaryotic,X,X,X,,EM,P25574 (),O13981 (),,GO:0006457 (protein folding),
PF08490,eukaryotic,X,X,X,X,rule-based/EM,P21951 (COG0417@NOG),P87154 (COG0417@NOG),GO:0003677 (DNA binding); GO:0004518 (nuclease activity); GO:0006310 (DNA recombination); GO:0006974 (cellular response to DNA damage stimulus); GO:0016740 (transferase activity); GO:0016779 (nucleotidyltransferase activity); GO:0016787 (hydrolase activity); GO:0043167 (ion binding); GO:0051726 (regulation of cell cycle),GO:0006260 (DNA replication); GO:0006281 (DNA repair); GO:0006325 (chromatin organization),"GO:0006355 (regulation of transcription, DNA-templated)"
PF11894,eukaryotic,X,X,X,X,rule-based/EM,P47054 (),P78847 (),GO:0005198 (structural molecule activity); GO:0006997 (nucleus organization); GO:0015931 (nucleobase-containing compound transport); GO:0051049 (regulation of transport),,GO:0006461 (protein complex assembly); GO:0006913 (nucleocytoplasmic transport)
PF04424,eukaryotic,X,,X,X,EM,P53155 ();Q08930 (),Q09874 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm),,
PF09994,prokaryotic,X,X,,,EM,P39992 (COG3673@NOG),,,,
PF08578,eukaryotic,X,,X,X,EM,Q07454 (),O14260 (),GO:0005198 (structural molecule activity); GO:0006970 (response to osmotic stress); GO:0019899 (enzyme binding); GO:0031399 (regulation of protein modification process),,
PF11935,eukaryotic,X,X,X,X,rule-based/EM,Q01329 (),Q10222 (),"GO:0006353 (DNA-templated transcription, termination); GO:0006397 (mRNA processing); GO:0008033 (tRNA processing)",,GO:0006399 (tRNA metabolic process); GO:0016071 (mRNA metabolic process)
PF11931,eukaryotic,X,X,X,,EM,P19736 (COG5188@NOG),O59706 (COG5188@NOG),GO:0003723 (RNA binding); GO:0006397 (mRNA processing); GO:0008380 (RNA splicing); GO:0043167 (ion binding),,GO:0016071 (mRNA metabolic process)
PF05670,prokaryotic,X,,X,X,EM,P40206 ();Q12532 (COG1293@NOG),Q9USN8 (COG1293@NOG),GO:0003723 (RNA binding); GO:0005737 (cytoplasm); GO:0006414 (translational elongation); GO:0006417 (regulation of translation); GO:0051603 (proteolysis involved in cellular protein catabolic process),,GO:0030163 (protein catabolic process)
PF04366,prokaryotic,X,,X,X,EM,P43603 (COG2930@NOG);P32793 (COG2930@NOG),Q9URW6 (COG2930@NOG),GO:0006897 (endocytosis); GO:0007010 (cytoskeleton organization); GO:0008092 (cytoskeletal protein binding); GO:0008289 (lipid binding); GO:0016020 (membrane),,GO:0016192 (vesicle-mediated transport)
PF10296,eukaryotic,X,,X,X,rule-based/EM,P41800 ();Q06833 (),O74368 (),GO:0006869 (lipid transport); GO:0008289 (lipid binding); GO:0016020 (membrane),GO:0007005 (mitochondrion organization); GO:0055085 (transmembrane transport),GO:0006461 (protein complex assembly); GO:0061024 (membrane organization)
PF08574,eukaryotic,X,X,X,,EM,Q07532 (),O13951 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0051169 (nuclear transport),,GO:0006913 (nucleocytoplasmic transport)
PF07798,prokaryotic,X,X,X,X,EM,P43557 ();Q05867 (),O14042 ();O42997 ();Q10073 (),GO:0005739 (mitochondrion); GO:0016020 (membrane); GO:0070271 (protein complex biogenesis),,GO:0055085 (transmembrane transport)
PF11503,eukaryotic,X,X,,,EM,Q3E830 ();Q3E841 (),,GO:0016020 (membrane),,
PF05664,eukaryotic,X,X,,,EM,Q08748 (),,GO:0005737 (cytoplasm),,
PF06025,eukaryotic,X,X,X,X,EM,Q03280 (COG5021@NOG),O13834 (COG5021@NOG),GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0006997 (nucleus organization); GO:0015931 (nucleobase-containing compound transport); GO:0016740 (transferase activity); GO:0016874 (ligase activity); GO:0048285 (organelle fission); GO:0051169 (nuclear transport),GO:0070647 (protein modification by small protein conjugation or removal),GO:0006913 (nucleocytoplasmic transport)
PF06027,eukaryotic,,,X,X,EM,,O59785 (COG0697@NOG),,,GO:0055085 (transmembrane transport)
PF08699,eukaryotic,,,X,X,EM,,O74957 (),,,"GO:0006325 (chromatin organization); GO:0006355 (regulation of transcription, DNA-templated)"
PF09848,prokaryotic,X,X,,,EM,Q12179 (COG3410@NOG),,GO:0005634 (nucleus); GO:0005737 (cytoplasm),,
PF12239,eukaryotic,X,X,,,EM,Q02754 (),,GO:0005737 (cytoplasm),,
PF05907,eukaryotic,X,X,X,,EM,P25654 (),O74797 (),,,
PF01008,prokaryotic,X,X,X,X,rule-based/EM,Q06489 (COG0182@NOG);P14741 (COG1184@NOG);P12754 (COG1184@NOG);P32502 (COG1184@NOG),Q09924 (COG1184@NOG);Q9UT76 (COG1184@NOG);Q9USP0 (COG1184@NOG);O60185 (COG0182@NOG),"GO:0003723 (RNA binding); GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006417 (regulation of translation); GO:0008135 (translation factor activity, RNA binding); GO:0016853 (isomerase activity); GO:0030234 (enzyme regulator activity)",GO:0006520 (cellular amino acid metabolic process); GO:0051186 (cofactor metabolic process),
PF10058,prokaryotic,X,X,X,X,EM,P38878 (),O94414 (),GO:0016020 (membrane); GO:0043167 (ion binding),,GO:0061024 (membrane organization)
PF09495,eukaryotic,X,X,X,X,EM,Q3E747 (),Q9P7I8,GO:0005634 (nucleus),,
PF01933,prokaryotic,X,X,,,EM,P53980 (COG0391@NOG),,,,
PF07896,prokaryotic,X,,X,X,EM,P38345 (),C6Y4C4 (),GO:0070271 (protein complex biogenesis),,GO:0006461 (protein complex assembly)
PF01841,prokaryotic,,,X,X,EM,,O74739 (),,,GO:0030163 (protein catabolic process); GO:1901135 (carbohydrate derivative metabolic process)
PF01169,prokaryotic,X,X,X,,EM,P38301 (COG2119@NOG),Q9P7Q0 (COG2119@NOG);Q10320 (COG2119@NOG),GO:0005773 (vacuole); GO:0005794 (Golgi apparatus); GO:0006811 (ion transport); GO:0006873 (cellular ion homeostasis); GO:0016020 (membrane); GO:0022857 (transmembrane transporter activity); GO:0055085 (transmembrane transport),,
PF10307,eukaryotic,X,,X,X,EM,Q03508 (),Q9USS8 (),,,
PF06417,eukaryotic,X,X,X,X,EM,P53073 (),O94520 (),,GO:0006457 (protein folding),
PF04574,eukaryotic,X,,X,X,EM,P06700 (COG0846@NOG);P53685 (COG0846@NOG),O94640 (COG0846@NOG),GO:0005730 (nucleolus); GO:0006974 (cellular response to DNA damage stimulus); GO:0016570 (histone modification); GO:0016787 (hydrolase activity); GO:0043167 (ion binding); GO:0043934 (sporulation); GO:0051052 (regulation of DNA metabolic process),GO:0006281 (DNA repair); GO:0006325 (chromatin organization),"GO:0006351 (transcription, DNA-templated); GO:0006355 (regulation of transcription, DNA-templated)"
PF12927,eukaryotic,X,X,X,,EM,P43573 (),O74953 (),"GO:0000988 (transcription factor activity, protein binding); GO:0005737 (cytoplasm)",,GO:0006461 (protein complex assembly)
PF13915,eukaryotic,,,X,X,EM,,Q10140 (),,,
PF01868,prokaryotic,X,X,X,X,rule-based/EM,P38336 (),Q9P7W9 (),GO:0003723 (RNA binding); GO:0004518 (nuclease activity); GO:0006364 (rRNA processing); GO:0006401 (RNA catabolic process); GO:0008033 (tRNA processing); GO:0016787 (hydrolase activity); GO:0019843 (rRNA binding); GO:0043144 (snoRNA processing),,GO:0006399 (tRNA metabolic process); GO:0016071 (mRNA metabolic process)
PF10937,eukaryotic,X,,X,X,EM,P19955 (),G2TRP3,GO:0003735 (structural constituent of ribosome); GO:0005198 (structural molecule activity); GO:0005840 (ribosome); GO:0032543 (mitochondrial translation),GO:0007005 (mitochondrion organization),GO:0042254 (ribosome biogenesis)
PF10336,eukaryotic,X,X,X,X,EM,P53060 (),O94577 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm),GO:0006310 (DNA recombination),
PF13422,eukaryotic,X,X,,,EM,Q08979 (),,,,
PF10334,eukaryotic,X,,X,X,EM,Q07660 (),P87136 (),GO:0006897 (endocytosis); GO:0016020 (membrane); GO:0022857 (transmembrane transporter activity),,
PF01937,prokaryotic,X,X,X,,EM,Q04371 (),O94725 ();Q9UT55 (),GO:0008168 (methyltransferase activity); GO:0008213 (protein alkylation); GO:0016740 (transferase activity),,
PF06131,prokaryotic,,,X,X,EM,,Q96WV6 (),,,GO:0007155 (cell adhesion)
PF10445,eukaryotic,X,,X,X,EM,P38740 (),O74505 (),,,
PF08438,prokaryotic,X,,X,X,EM,P42942 (COG0012@NOG),O94362 (COG0012@NOG),,,
PF10338,eukaryotic,X,,X,X,EM,P38202 (),Q96WW3,,,
PF04190,eukaryotic,X,X,X,,EM,Q12125 (),O74432 (),GO:0006605 (protein targeting),,GO:0016192 (vesicle-mediated transport)
PF13259,eukaryotic,X,X,X,,EM,Q06070 (),C6Y4B4,GO:0005737 (cytoplasm); GO:0005938 (cell cortex),,
PF02475,prokaryotic,X,X,X,,rule-based/EM,P38793 (COG2520@NOG);Q04235 (COG2520@NOG),Q8TFG7 (COG2520@NOG);Q09832 (COG2520@NOG),GO:0005737 (cytoplasm); GO:0007005 (mitochondrion organization); GO:0008033 (tRNA processing); GO:0008168 (methyltransferase activity); GO:0009451 (RNA modification); GO:0016740 (transferase activity),,GO:0006399 (tRNA metabolic process); GO:1901135 (carbohydrate derivative metabolic process)
PF02714,eukaryotic,X,,X,X,EM,Q12252 (COG5594@NOG);Q07798 (COG5594@NOG);Q06538 (COG5594@NOG);Q03516 (COG5594@NOG),Q09809 (COG5594@NOG);Q09766 (COG5594@NOG);O43022 (COG5594@NOG),GO:0005886 (plasma membrane); GO:0006811 (ion transport); GO:0016020 (membrane); GO:0022857 (transmembrane transporter activity); GO:0043934 (sporulation); GO:0048193 (Golgi vesicle transport); GO:0071554 (cell wall organization or biogenesis),,GO:0016192 (vesicle-mediated transport); GO:0055085 (transmembrane transport)
PF13821,eukaryotic,X,X,X,X,EM,Q06152 (),C6Y4A5 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm),,
PF10806,eukaryotic,X,X,,X,rule-based/EM,P14693 (),,GO:0006605 (protein targeting); GO:0007005 (mitochondrion organization); GO:0016020 (membrane); GO:0055085 (transmembrane transport),,
PF13907,eukaryotic,X,,X,X,EM,P32657 (COG0553@NOG),O14139 (),"GO:0003677 (DNA binding); GO:0003682 (chromatin binding); GO:0004386 (helicase activity); GO:0006353 (DNA-templated transcription, termination); GO:0006354 (DNA-templated transcription, elongation); GO:0016570 (histone modification); GO:0016787 (hydrolase activity); GO:0016887 (ATPase activity); GO:0031399 (regulation of protein modification process); GO:0042393 (histone binding); GO:0051052 (regulation of DNA metabolic process); GO:0070647 (protein modification by small protein conjugation or removal)",GO:0006325 (chromatin organization),"GO:0006351 (transcription, DNA-templated); GO:0006355 (regulation of transcription, DNA-templated)"
PF04034,prokaryotic,X,,X,X,EM,Q12094 (COG2042@NOG),Q10409 (COG2042@NOG),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing),,
PF04037,eukaryotic,X,X,X,X,EM,Q02554 (COG5182@NOG),Q9UUI3 (COG5182@NOG),GO:0003723 (RNA binding); GO:0006397 (mRNA processing); GO:0008380 (RNA splicing),,GO:0016071 (mRNA metabolic process)
PF06201,eukaryotic,,,X,X,EM,,Q9P7A1 ();Q9USR1 (),,,"GO:0006355 (regulation of transcription, DNA-templated); GO:0006457 (protein folding); GO:0030163 (protein catabolic process)"
PF11919,eukaryotic,X,X,,,EM,P43583 (),,GO:0005634 (nucleus); GO:0006281 (DNA repair); GO:0006325 (chromatin organization); GO:0006974 (cellular response to DNA damage stimulus); GO:0030234 (enzyme regulator activity); GO:0042393 (histone binding); GO:0051169 (nuclear transport); GO:0051603 (proteolysis involved in cellular protein catabolic process),,
PF04502,eukaryotic,X,X,X,X,rule-based/EM,P28320 (COG5134@NOG),Q9P7C5 (COG5134@NOG);O60141 (COG5134@NOG),,,GO:0016071 (mRNA metabolic process)
PF10343,eukaryotic,,,X,X,EM,,Q9HDZ9 (),,,GO:0006399 (tRNA metabolic process)
PF13300,eukaryotic,,,X,X,EM,,Q9P7B7 (),,,
PF10340,eukaryotic,X,X,X,X,EM,P53324 (COG0657@NOG),Q9HDV1 (COG0657@NOG),GO:0005783 (endoplasmic reticulum); GO:0006629 (lipid metabolic process); GO:0016020 (membrane); GO:0016787 (hydrolase activity); GO:0042221 (response to chemical),,
PF12257,eukaryotic,X,X,X,X,EM,P47170 (),O74788 (),GO:0030234 (enzyme regulator activity); GO:0033043 (regulation of organelle organization),,
PF10348,eukaryotic,X,X,X,X,EM,P25639 (),O59714 (),,,
PF10355,eukaryotic,X,,X,X,EM,P25639 ();P53584 (),O59714 (),GO:0016020 (membrane),,
PF08617,prokaryotic,X,X,X,X,EM,Q03705 (),Q9P7J3 (),GO:0006310 (DNA recombination); GO:0008033 (tRNA processing); GO:0009451 (RNA modification); GO:0032200 (telomere organization),,"GO:0006351 (transcription, DNA-templated); GO:0006355 (regulation of transcription, DNA-templated); GO:0006399 (tRNA metabolic process)"
PF06842,eukaryotic,X,X,X,X,rule-based/EM,Q8TGJ3 (),G2TRS3 (),GO:0016020 (membrane),,GO:0016192 (vesicle-mediated transport)
PF15375,eukaryotic,,,X,X,rule-based/EM,,Q10183 (),,,
PF10180,eukaryotic,X,X,,,EM,P25617 (),,,,
PF09949,prokaryotic,X,X,X,,EM,P53933 (COG4850@NOG),Q9HGP1 (COG4850@NOG),GO:0005856 (cytoskeleton); GO:0007010 (cytoskeleton organization); GO:0016787 (hydrolase activity); GO:0016791 (phosphatase activity),GO:0006629 (lipid metabolic process),GO:0030036 (actin cytoskeleton organization)
PF10224,eukaryotic,X,X,X,X,EM,Q3E784 (),G2TRT5,,,GO:0016192 (vesicle-mediated transport)
PF15251,eukaryotic,X,X,,,EM,P47115 (),,,,
PF01133,eukaryotic,,,X,X,EM,,G2TRN4 (),,,GO:0055086 (nucleobase-containing small molecule metabolic process)
PF12157,eukaryotic,X,X,X,X,rule-based/EM,P46677 (COG5179@NOG),Q09813 (COG5179@NOG),GO:0003682 (chromatin binding); GO:0005198 (structural molecule activity); GO:0005634 (nucleus); GO:0006366 (transcription from RNA polymerase II promoter); GO:0008134 (transcription factor binding); GO:0016740 (transferase activity),,
